commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,1,package metrics - trait Metric - method trackDefectWith - <$anon: zio.ZIOAspect[Nothing Any Nothing Any Nothing Any]>,3.0,4.0,0.5714285714285714,1.0,0.14285714285714285,3.0,0.42857142857142855
HEAD,1,package metrics - trait Metric - method trackDurationWith - <$anon: zio.ZIOAspect[Nothing Any Nothing Any Nothing Any]>,1.0,11.0,0.7857142857142857,4.0,0.2857142857142857,7.5,0.5357142857142857
HEAD,0,package metrics - trait Metric - method trackErrorWith - <$anon: zio.ZIOAspect[Nothing Any Nothing In2 Nothing Any]>,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package metrics - trait Metric - method trackSuccessWith - <$anon: zio.ZIOAspect[Nothing Any Nothing Any Nothing In2]>,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package metrics - trait Metric - trait UnsafeAPI,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,0,package metrics - object Metric,16.0,105.0,0.3465346534653465,2.0,0.006600660066006601,23.705882352941178,0.07823723548825472
HEAD,0,package metrics - object Metric - class InvariantSyntax,7.0,13.0,0.4642857142857143,2.0,0.07142857142857142,5.25,0.1875
HEAD,0,package metrics - object Metric - class InvariantSyntax - method zip - <$anon: zio.metrics.Metric[z1.Out uz.In z2.Out]>,7.0,7.0,0.3333333333333333,2.0,0.09523809523809523,4.375,0.20833333333333334
HEAD,0,package metrics - object Metric - class InvariantSyntax - method zip - <$anon: zio.metrics.Metric[z1.Out uz.In z2.Out]> - <$anon: this.UnsafeAPI>,7.0,7.0,0.4375,2.0,0.125,3.75,0.234375
HEAD,0,package metrics - object Metric - class CounterSyntax,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,0,package metrics - object Metric - class GaugeSyntax,0.0,11.0,1.0,11.0,1.0,11.0,1.0
HEAD,0,package metrics - object Metric - object runtime,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package metrics - object Metric - method fromMetricKey - <$anon: zio.metrics.Metric[Type key.keyType.In key.keyType.Out]>,3.0,14.0,0.45161290322580644,5.0,0.16129032258064516,9.5,0.3064516129032258
HEAD,0,package metrics - object Metric - method fromMetricKey - <$anon: zio.metrics.Metric[Type key.keyType.In key.keyType.Out]> - <$anon: this.UnsafeAPI>,3.0,14.0,0.6086956521739131,4.0,0.17391304347826086,7.5,0.32608695652173914
HEAD,0,package metrics - object Metric - method succeed - <$anon: zio.metrics.Metric[Unit Any Out]>,4.0,8.0,0.47058823529411764,3.0,0.17647058823529413,5.8,0.3411764705882353
HEAD,0,package metrics - object Metric - method succeed - <$anon: zio.metrics.Metric[Unit Any Out]> - <$anon: this.UnsafeAPI>,3.0,8.0,0.6666666666666666,2.0,0.16666666666666666,4.75,0.3958333333333333
HEAD,1,package stream - trait ZChannel,10.0,760.0,0.5932864949258392,7.0,0.00546448087431694,122.72727272727273,0.09580583351075155
HEAD,0,package stream - trait ZChannel - method pipeToOrFail - class ChannelFailure,1.0,14.0,0.7368421052631579,7.0,0.3684210526315789,10.5,0.5526315789473685
HEAD,1,package stream - object ZChannel,8.0,200.0,0.2557544757033248,3.0,0.0038363171355498722,90.0,0.11508951406649616
HEAD,0,package stream - object ZChannel - class PipeTo,0.0,15.0,1.0,15.0,1.0,15.0,1.0
HEAD,0,package stream - object ZChannel - class Read,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package stream - object ZChannel - class SucceedNow,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package stream - object ZChannel - class Fail,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package stream - object ZChannel - class FromZIO,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package stream - object ZChannel - class Emit,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package stream - object ZChannel - class Succeed,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package stream - object ZChannel - class Suspend,0.0,3.0,1.0,3.0,1.0,3.0,1.0
HEAD,0,package stream - object ZChannel - class Ensuring,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package stream - object ZChannel - class ConcatAll,0.0,17.0,1.0,17.0,1.0,17.0,1.0
HEAD,0,package stream - object ZChannel - class Fold,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package stream - object ZChannel - object Fold,0.0,33.0,1.0,33.0,1.0,33.0,1.0
HEAD,0,package stream - object ZChannel - object Fold - class Continuation,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package stream - object ZChannel - object Fold - class K,0.0,10.0,1.0,10.0,1.0,10.0,1.0
HEAD,0,package stream - object ZChannel - object Fold - class Finalizer,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package stream - object ZChannel - class Bridge,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package stream - object ZChannel - class BracketOut,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package stream - object ZChannel - class Provide,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package stream - object ZChannel - trait MergeState,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package stream - object ZChannel - object MergeState,0.0,12.0,1.0,12.0,1.0,12.0,1.0
